Index,Name
1,Thủ tục cấp Giấy phép sản xuất rượu thủ công nhằm mục đích kinh doanh
2,"Thủ tục cấp sửa đổi, bổ sung Giấy phép sản xuất rượu thủ công nhằm mục đích kinh doanh"
3,Thủ tục cấp lại Giấy phép sản xuất rượu thủ công nhằm mục đích kinh doanh
4,Thủ tục cấp Giấy phép bán lẻ rượu
5,"Thủ tục cấp sửa đổi, bổ sung Giấy phép bán lẻ rượu"
6,Thủ tục cấp lại Giấy phép bán lẻ rượu
7,Thủ tục cấp Giấy phép bán lẻ sản phẩm thuốc lá
8,"Thủ tục cấp sửa đổi, bổ sung Giấy phép bán lẻ sản phẩm thuốc lá"
9,Thủ tục cấp lại Giấy phép bán lẻ sản phẩm thuốc lá
10,Thông báo về việc thực hiện hoạt động bán hàng không tại địa điểm giao dịch thường xuyên
11,Phê duyệt phương án cắm mốc chỉ giới xác định phạm vi bảo vệ đập thủy điện
12,"Thẩm định, phê duyệt phương án ứng phó thiên tai cho công trình vùng hạ du đập thủy điện thuộc thẩm quyền phê duyệt của Ủy ban nhân dân cấp huyện"
13,Thủ tục cấp Giấy chứng nhận đủ điều kiện cửa hàng bán lẻ LPG chai
14,Thủ tục cấp lại Giấy chứng nhận đủ điều kiện cửa hàng bán lẻ LPG chai
15,Cấp điều chỉnh Giấy chứng nhận đủ điều kiện cửa hàng bán lẻ LPG chai
16,Cấp Giấy chứng nhận sản phẩm công nghiệp nông thôn tiêu biểu cấp huyện
17,Giao tài sản kết cấu hạ tầng chợ do cấp huyện quản lý
18,Thu hồi tài sản kết cấu hạ tầng chợ
19,"Thủ tục đề nghị tổ chức đại hội của tổ chức tôn giáo, tổ chức tôn giáo trực thuộc, tổ chức được cấp chứng nhận đăng ký hoạt động tôn giáo có địa bàn hoạt động ở một xã"
20,"Thủ tục đề nghị tổ chức cuộc lễ ngoài cơ sở tôn giáo, địa điểm hợp pháp đã đăng ký có quy mô tổ chức ở một xã"
21,"Thủ tục đề nghị giảng đạo ngoài địa bàn phụ trách, cơ sở tôn giáo, địa điểm hợp pháp đã đăng ký có quy mô tổ chức ở một xã"
22,Thủ tục đăng ký hoạt động tín ngưỡng
23,Thủ tục đăng ký bổ sung hoạt động tín ngưỡng
24,Thủ tục đăng ký sinh hoạt tôn giáo tập trung
25,Thủ tục đăng ký thay đổi người đại diện của nhóm sinh hoạt tôn giáo tập trung
26,Thủ tục đề nghị thay đổi địa điểm sinh hoạt tôn giáo tập trung trong địa bàn một xã
27,Thủ tục đề nghị thay đổi địa điểm sinh hoạt tôn giáo tập trung đến địa bàn xã khác
28,Công nhận người có uy tín
29,"Đưa ra khỏi danh sách và thay thế, bổ sung người có uy tín"
30,"Chuyển đổi nhà trẻ, trường mẫu giáo, trường mầm non tư thục do nhà đầu tư trong nước đầu tư sang nhà trẻ, trường mẫu giáo, trường mầm non tư thục hoạt động không vì lợi nhuận"
31,"Thủ tục xét, cấp học bổng chính sách"
32,Thủ tục chuyển trường đối với học sinh tiểu học
33,Chuyển trường đối với học sinh trung học cơ sở
34,Tiếp nhận học sinh trung học cơ sở Việt Nam về nước
35,Tiếp nhận học sinh trung học cơ sở người nước ngoài
36,Tuyển sinh trung học cơ sở
37,"Thành lập hoặc cho phép thành lập trường mẫu giáo, trường mầm non, nhà trẻ"
38,"Cho phép trường mẫu giáo, trường mầm non, nhà trẻ hoạt động giáo dục"
39,"Sáp nhập, chia, tách trường mẫu giáo, trường mầm non, nhà trẻ"
40,"Cho phép trường mẫu giáo, trường mầm non, nhà trẻ hoạt động giáo dục trở lại"
41,"Giải thể trường mẫu giáo, trường mầm non, nhà trẻ (Theo đề nghị của tổ chức, cá nhân thành lập trường)"
42,Thành lập hoặc cho phép thành lập trường tiểu học
43,Cho phép trường tiểu học hoạt động giáo dục
44,"Sáp nhập, chia, tách trường tiểu học."
45,Cho phép trường tiểu học hoạt động giáo dục trở lại
46,"Giải thể trường tiểu học (theo đề nghị của tổ chức, cá nhân đề nghị thành lập trường tiểu học)"
47,"Thành lập hoặc cho phép thành lập trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở"
48,"Cho phép trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở hoạt động giáo dục"
49,"Sáp nhập, chia, tách trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở"
50,"Cho phép trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở hoạt động giáo dục trở lại"
51,"Giải thể trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở (Theo đề nghị của cá nhân, tổ chức thành lập trường)"
52,"Chuyển đổi trường tiểu học tư thục, trường trung học cơ sở tư thục và trường phổ thông tư thục có nhiều cấp học có cấp học cao nhất là trung học cơ sở do nhà đầu tư trong nước đầu tư sang trường phổ thông tư thục hoạt động không vì lợi nhuận"
53,Thành lập hoặc cho phép thành lập cơ sở giáo dục mầm non độc lập
54,Cho phép cơ sở giáo dục mầm non độc lập hoạt động giáo dục trở lại
55,"Sáp nhập, chia, tách cơ sở giáo dục mầm non độc lập"
56,Cho phép cơ sở giáo dục khác thực hiện chương trình giáo dục phổ thông cấp tiểu học
57,"Hỗ trợ đối với giáo viên mầm non làm việc tại cơ sở giáo dục mầm non dân lập, tư thục ở địa bàn có khu công nghiệp"
58,Hỗ trợ ăn trưa đối với trẻ em mẫu giáo
59,"Trợ cấp đối với trẻ em mầm non là con công nhân, người lao động làm việc tại khu công nghiệp"
60,"Xét duyệt học sinh bán trú, học viên bán trú hỗ trợ kinh phí, hỗ trợ gạo"
61,"Xét duyệt trẻ em nhà trẻ bán trú hỗ trợ kinh phí, hỗ trợ gạo"
62,Thành lập hoặc cho phép thành lập trung tâm học tập cộng đồng
63,Cho phép trung tâm học tập cộng đồng hoạt động trở lại
64,"Sáp nhập, chia, tách trung tâm học tập cộng đồng"
65,"Giải thể trung tâm học tập cộng đồng (Theo đề nghị của tổ chức, cá nhân thành lập trung tâm)"
66,"Thành lập lớp dành cho người khuyết tật trong trường mầm non, trường tiểu học, trường trung học cơ sở và trung tâm giáo dục thường xuyên, trung tâm giáo dục nghề nghiệp - giáo dục thường xuyên thực hiện các chương trình xóa mù chữ và chương trình giáo dục thường xuyên cấp trung học cơ sở"
67,"Giải thể cơ sở giáo dục mầm non độc lập (theo đề nghị của tổ chức, cá nhân thành lập trường)"
68,"Cấp bản sao văn bằng, chứng chỉ từ sổ gốc"
69,"Thủ tục chỉnh sửa nội dung văn bằng, chứng chỉ"
70,Chuyển đổi cơ sở giáo dục mầm non bán công sang cơ sở giáo dục mầm non dân lập
71,Chuyển đổi cơ sở giáo dục mầm non bán công sang cơ sở giáo dục mầm non công lập
72,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
73,"Cấp chính sách nội trú cho học sinh, sinh viên tham gia chương trình đào tạo trình độ cao đẳng, trung cấp tại các cơ sở giáo dục nghề nghiệp tư thục hoặc cơ sở giáo dục có vốn đầu tư nước ngoài"
74,"Cấp chính sách nội trú cho học sinh, sinh viên tham gia chương trình đào tạo trình độ cao đẳng, trung cấp tại các cơ sở giáo dục nghề nghiệp công lập trực thuộc cấp xã"
75,Giải quyết tranh chấp đất đai thuộc thẩm quyền của Chủ tịch Ủy ban nhân dân cấp xã
76,"Đăng ký đất đai, tài sản gắn liền với đất, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu đối với tổ chức đang sử dụng đất"
77,"Giao đất, cho thuê đất, chuyển mục đích sử dụng đất đối với trường hợp giao đất, cho thuê đất không đấu giá quyền sử dụng đất, không đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất; trường hợp giao đất, cho thuê đất thông qua đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất; giao đất và giao rừng; cho thuê đất và cho thuê rừng, gia hạn sử dụng đất khi hết thời hạn sử dụng đất"
78,"Chuyển hình thức giao đất, cho thuê đất"
79,"Điều chỉnh quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất do thay đổi căn cứ quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất; điều chỉnh thời hạn sử dụng đất của dự án đầu tư"
80,"Điều chỉnh quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất do sai sót về ranh giới, vị trí, diện tích, mục đích sử dụng giữa bản đồ quy hoạch, bản đồ địa chính, quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất và số liệu bàn giao đất trên thực địa"
81,"Đăng ký đất đai, tài sản gắn liền với đất, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu đối với hộ gia đình, cá nhân, cộng đồng dân cư, người gốc Việt Nam định cư ở nước ngoài"
82,"Xác định lại diện tích đất ở của hộ gia đình, cá nhân đã được cấp Giấy chứng nhận trước ngày 01 tháng 7 năm 2004"
83,Đính chính Giấy chứng nhận đã cấp lần đầu có sai sót
84,"Thu hồi Giấy chứng nhận đã cấp không đúng quy định của pháp luật đất đai do người sử dụng đất, chủ sở hữu tài sản gắn liền với đất phát hiện và cấp lại Giấy chứng nhận sau khi thu hồi"
85,"Sử dụng đất kết hợp đa mục đích, gia hạn phương án sử dụng đất kết hợp đa mục đích"
86,Hòa giải tranh chấp đất đai thuộc thẩm quyền cấp xã
87,"Giao đất ở có thu tiền sử dụng đất không thông qua đấu giá, không đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất đối với cá nhân là cán bộ, công chức, viên chức, sĩ quan tại ngũ, quân nhân chuyên nghiệp, công chức quốc phòng, công nhân và viên chức quốc phòng, sĩ quan, hạ sĩ quan, công nhân công an, người làm công tác cơ yếu và người làm công tác khác trong tổ chức cơ yếu hưởng lương từ ngân sách nhà nước mà chưa được giao đất ở, nhà ở; giáo viên, nhân viên y tế đang công tác tại các xã biên giới, hải đảo thuộc vùng có điều kiện kinh tế - xã hội khó khăn, vùng có điều kiện kinh tế - xã hội đặc biệt khó khăn nhưng chưa có đất ở, nhà ở tại nơi công tác hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở; cá nhân thường trú tại xã mà không có đất ở và chưa được Nhà nước giao đất ở hoặc chưa được hưởng chính sách hỗ trợ về nhà ở theo quy định của pháp luật về nhà ở"
88,Tặng cho quyền sử dụng đất cho Nhà nước hoặc cộng đồng dân cư hoặc mở rộng đường giao thông đối với trường hợp thửa đất chưa được cấp Giấy chứng nhận.
89,Hỗ trợ dự án liên kết (cấp huyện)
90,"Chuyển đổi cơ cấu cây trồng, vật nuôi trên đất trồng lúa"
91,"Công nhận hộ nghèo, hộ cận nghèo; hộ thoát nghèo, hộ thoát cận nghèo định kỳ hằng năm"
92,"Công nhận hộ nghèo, hộ cận nghèo thường xuyên hằng năm"
93,"Công nhận hộ thoát nghèo, hộ thoát cận nghèo thường xuyên hằng năm"
94,"Công nhận hộ làm nông nghiệp, lâm nghiệp, ngư nghiệp và diêm nghiệp có mức sống trung bình"
95,"Hỗ trợ chi phí về vật tư phối giống nhân tạo gia súc gồm tinh đông lạnh, Nitơ lỏng, găng tay và dụng cụ dẫn tinh để phối giống cho trâu, bò cái; chi phí về liều tinh để thực hiện phối giống cho lợn nái, công cho người làm dịch vụ phối giống nhân tạo gia súc (trâu, bò)"
96,"Phê duyệt hỗ trợ kinh phí đào tạo, tập huấn để chuyển đổi từ chăn nuôi sang các nghề khác; chi phí cho cá nhân được đào tạo về kỹ thuật phối giống nhân tạo gia súc (trâu, bò); chi phí mua bình chứa Nitơ lỏng bảo quản tinh cho người làm dịch vụ phối giống nhân tạo gia súc (trâu, bò) đối với các chính sách sử dụng vốn sự nghiệp nguồn ngân sách nhà nước"
97,Hỗ trợ cơ sở sản xuất bị thiệt hại do dịch bệnh động vật (cơ sở sản xuất không thuộc lực lượng vũ trang nhân dân)
98,Công nhận và giao quyền quản lý cho tổ chức cộng đồng (thuộc địa bàn quản lý)
99,"Sửa đổi, bổ sung nội dung quyết định công nhận và giao quyền quản lý cho tổ chức cộng đồng (thuộc địa bàn quản lý)"
100,Công bố mở cảng cá loại III
101,"Đăng ký khai thác, sử dụng nước dưới đất"
102,Giao khu vực biển cho cá nhân Việt Nam để nuôi trồng thủy sản
103,Gia hạn thời hạn giao khu vực biển cho cá nhân Việt Nam để nuôi trồng thủy sản
104,Trả lại khu vực biển cho cá nhân Việt Nam để nuôi trồng thủy sản
105,"Sửa đổi, bổ sung Quyết định giao khu vực biển cho cá nhân Việt Nam để nuôi trồng thủy sản"
106,Công nhận khu vực biển cho cá nhân Việt Nam để nuôi trồng thủy sản
107,Quyết định chuyển mục đích sử dụng rừng sang mục đích khác đối với cá nhân
108,"Phê duyệt hoặc điều chỉnh phương án quản lý rừng bền vững của chủ rừng là hộ gia đình, cá nhân, cộng đồng dân cư hoặc hộ gia đình cá nhân liên kết thành nhóm hộ, tổ hợp tác trường hợp có tổ chức các hoạt động du lịch sinh thái"
109,"Thẩm định thiết kế, dự toán hoặc thẩm định điều chỉnh thiết kế, dự toán công trình lâm sinh sử dụng vốn đầu tư công đối với các dự án do Chủ tịch Uỷ ban nhân dân cấp huyện, cấp xã quyết định đầu tư"
110,"Lập biên bản kiểm tra hiện trường xác định nguyên nhân, mức độ thiệt hại rừng trồng"
111,"Hỗ trợ tín dụng đầu tư trồng rừng gỗ lớn đối với chủ rừng là hộ gia đình, cá nhân"
112,"Quyết định thu hồi rừng đối với hộ gia đình, cá nhân và cộng đồng dân cư tự nguyện trả lại rừng"
113,Phê duyệt Phương án khai thác thực vật rừng loài thông thường thuộc thẩm quyền giải quyết của Ủy ban nhân dân cấp xã
114,Tham vấn trong đánh giá tác động môi trường
115,Xác nhận Hợp đồng tiếp cận nguồn gen và chia sẻ lợi ích (cấp xã)
116,"Hỗ trợ khám chữa bệnh, trợ cấp tai nạn cho lực lượng xung kích phòng chống thiên tai cấp xã trong trường hợp chưa tham gia bảo hiểm y tế, bảo hiểm xã hội"
117,"Trợ cấp tiền tuất, tai nạn (đối với trường hợp tai nạn suy giảm khả năng lao động từ 5% trở lên) cho lực lượng xung kích phòng chống thiên tai cấp xã chưa tham gia bảo hiểm xã hội"
118,"Phê duyệt phương án bảo vệ đập, hồ chứa nước trên địa bàn do Ủy ban nhân dân cấp tỉnh phân cấp"
119,"Phê duyệt, công bố công khai quy trình vận hành hồ chứa nước thuộc thẩm quyền của Chủ tịch UBND cấp xã"
120,"Phê duyệt, công bố công khai quy trình vận hành đối với công trình thủy lợi lớn và công trình thủy lợi vừa do UBND cấp tỉnh phân cấp"
121,"Phê duyệt đề cương, kết quả kiểm định an toàn đập, hồ chứa thủy lợi thuộc thẩm quyền của Chủ tịch UBND cấp xã"
122,"Hỗ trợ đầu tư xây dựng phát triển thủy lợi nhỏ, thuỷ lợi nội đồng và tưới tiên tiến, tiết kiệm nước (Đối với nguồn vốn hỗ trợ trực tiếp, ngân sách địa phương và nguồn vốn hợp pháp khác của địa phương phân bổ dự toán cho UBND cấp xã thực hiện)"
123,"Thẩm định, phê duyệt phương án ứng phó thiên tai cho công trình, vùng hạ du đập trong quá trình thi công thuộc thẩm quyền của UBND cấp xã"
124,"Thẩm định, phê duyệt phương án ứng phó với tình huống khẩn cấp thuộc thẩm quyền của UBND cấp xã"
125,Phê duyệt kế hoạch khuyến nông địa phương (cấp xã)
126,"Tổ chức phát động học tập tấm gương trong phạm vi cả nước đối với trường hợp hy sinh, bị thương quy định tại điểm k khoản 1 Điều 14 và điểm k khoản 1 Điều 23 Pháp lệnh."
127,"Cấp Bằng ""Tổ quốc ghi công"" đối với người hy sinh thuộc các trường hợp quy định tại Điều 14 Pháp lệnh nhưng chưa được cấp Bằng ""Tổ quốc ghi công"" mà thân nhân đã được giải quyết chế độ ưu đãi từ ngày 01 tháng 01 năm 1995 đến ngày 30 tháng 9 năm 2006."
128,"Cấp Bằng ""Tổ quốc ghi công"" đối với người hy sinh nhưng chưa được cấp Bằng Tổ quốc ghi công"" mà thân nhân đã được giải quyết chế độ ưu đãi từ ngày 31 tháng 12 năm 1994 trở về trước."
129,Đăng ký nội quy lao động của doanh nghiệp.
130,"Cấp Bằng ""Tổ quốc ghi công"""
131,"Giải quyết chế độ đối với quân nhân, cán bộ đi chiến trường B.C.K trong thời kỳ chống Mỹ cứu nước không có thân nhân phải trực tiếp nuôi dưỡng và quân nhân, cán bộ được đảng cử ở lại miền Nam hoạt động sau Hiệp định Giơnevơ năm 1954 đối với cán bộ, sỹ quan thuộc lực lượng vũ trang (công an, quân đội)"
132,"Giải quyết chế độ đối với quân nhân, cán bộ đi chiến trường B.C.K trong thời kỳ chống Mỹ cứu nước không có thân nhân phải trực tiếp nuôi dưỡng và quân nhân, cán bộ được đảng cử ở lại miền Nam hoạt động sau Hiệp định Giơnevơ năm 1954 đối với cán bộ dân, chính, đảng thuộc diện Trung ương quản lý."
133,Xác nhận và giải quyết chế độ ưu đãi người có công với cách mạng và thân nhân.
134,"Giải quyết chế độ đối với quân nhân, cán bộ đi chiến trường B,C, K trong thời kỳ chống Mỹ cứu nước không có thân nhân phải trực tiếp nuôi dưỡng và quân nhân, cán bộ được đảng cử ở lại miền Nam hoạt động sau Hiệp định Giơnevơ năm 1954 đối với cán bộ dân, chính, đảng."
135,Thăm viếng mộ liệt sĩ
136,"Tiếp nhận người có công vào cơ sở nuôi dưỡng, điều dưỡng người có công do Bộ Nội vụ quản lý."
137,"Cấp tiền mua phương tiện trợ giúp, dụng cụ chỉnh hình, phương tiện, thiết bị phục hồi chức năng đối với trường hợp đang sống tại gia đình hoặc đang được nuôi dưỡng tập trung tại các cơ sở nuôi dưỡng, điều dưỡng do địa phương quản lý."
138,"Giải quyết chế độ trợ cấp một lần đối với người được cử làm chuyên gia sang giúp Lào, Căm-pu-chi-a"
139,Đăng ký hợp đồng lao động trực tiếp giao kết
