qid,question,topic_key,topic,gold_row_no,gold_chroma_id,gold_title,linh_vuc,variant,difficulty,in_scope,oos_kind,chosen_tool,expected,hit
Q0001,Tôi cần giấy chứng nhận độc thân để đăng ký kết hôn thì xin ở đâu,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0002,"Bên nhà trai yêu cầu giấy xác nhận chưa có vợ, tôi phải làm thủ tục gì",xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,situational,hard,1,,search_procedures,get_procedure|search_procedures,1
Q0003,xác nhận tình trạng hôn nhân có mất phí không,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0004,hồ sơ xác nhận tình trạng hôn nhân gồm những gì,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0005,xác nhận tình trạng hôn nhân bao nhiêu ngày thì xong,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0006,xác nhận tình trạng hôn nhân cần giấy tờ gì,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,facet_docs,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0007,xác nhận tình trạng hôn nhân lệ phí bao nhiêu,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,facet_fee,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0008,xác nhận tình trạng hôn nhân mất bao lâu,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,facet_time,easy,1,,search_procedures,get_procedure|search_procedures,1
Q0009,xác nhận tình trạng hôn nhân làm online được không,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,facet_online,easy,1,,none,get_procedure|search_procedures,0
Q0010,xác nhận tình trạng hôn nhân nộp ở đâu,xac_nhan_hon_nhan,xác nhận tình trạng hôn nhân,1,0,Thủ tục xác nhận tình trạng hôn nhân,Hộ tịch,facet_place,easy,1,,search_procedures,get_procedure|search_procedures,1
